날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모
2025-11-22,21:25,지출,생활,생필품,토이하우스,-3000,KRW,네이버페이 간편결제(머니),
2025-11-22,21:23,지출,생활,생필품,토이하우스,-3000,KRW,네이버페이 간편결제(머니),
2025-11-22,19:42,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-22,18:30,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-22,14:34,지출,금융,카드,엔에이치엔페이코 주,-3500,KRW,네이버페이 간편결제(머니),
2025-11-22,14:34,지출,금융,카드,엔에이치엔페이코 주,-3500,KRW,네이버페이 머니,
2025-11-22,14:32,지출,의료/건강,약국,용수약국,-6500,KRW,국민내일배움 FANtastic S 체크,
2025-11-22,14:30,지출,생활,생필품,토이하우스,-3000,KRW,네이버페이 간편결제(머니),
2025-11-22,14:22,지출,카페/간식,아이스크림/빙수,현대 아이스크림 할인점,-600,KRW,국민내일배움 FANtastic S 체크,
2025-11-22,08:30,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-22,08:27,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-22,07:31,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-21,19:43,지출,생활,생활서비스,코레일유통주식회사,-10900,KRW,K-패스 하나 체크카드,
2025-11-21,19:40,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-21,18:36,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-21,14:02,지출,카페/간식,커피/음료,빽다방 종로3가낙원점,-2000,KRW,네이버페이 머니 하나 체크카드,
2025-11-21,13:59,지출,카페/간식,커피/음료,빽다방 종로3가낙원점,-6100,KRW,네이버페이 간편결제(머니),
2025-11-21,08:59,지출,금융,카드,대표인증(1)_나이스,-3000,KRW,네이버페이 머니 하나 체크카드,
2025-11-21,07:30,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-20,20:44,지출,교통,철도,한국철도공사 수도권서부본부별관,-1300,KRW,네이버페이 간편결제(머니),
2025-11-20,20:27,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-20,19:50,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-20,19:36,지출,온라인쇼핑,결제/충전,나이스_결제,-2000,KRW,네이버페이 머니 하나 통장,
2025-11-20,13:26,지출,식비,패스트푸드,BKR버거킹종로점,-6200,KRW,네이버페이 간편결제(머니),
2025-11-20,09:12,지출,카페/간식,커피/음료,더리터 직영종로점,-248,KRW,네이버페이 간편결제(포인트),
2025-11-20,09:12,지출,카페/간식,커피/음료,더리터 직영종로점,-3552,KRW,네이버페이 간편결제(머니),
2025-11-20,08:31,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-20,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-19,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-462,KRW,네이버페이 간편결제(머니),
2025-11-19,21:23,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-38,KRW,네이버페이 간편결제(포인트),
2025-11-19,19:41,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-19,18:55,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
2025-11-19,09:19,지출,온라인쇼핑,결제/충전,나이스_결제,-1800,KRW,네이버페이 머니 하나 통장,
2025-11-19,08:37,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-19,08:31,지출,교통,대중교통,경기시내버스_이비,-1750,KRW,K-패스 하나 체크카드,
2025-11-19,07:39,지출,교통,대중교통,티머니 지하철,-2250,KRW,K-패스 하나 체크카드,
2025-11-18,20:43,지출,교통,철도,코레일유통주식회사/게이트뱅크(일반),-400,KRW,네이버페이 간편결제(머니),
2025-11-18,19:47,지출,교통,대중교통,티머니 지하철,-800,KRW,K-패스 하나 체크카드,
2025-11-18,19:05,지출,교통,대중교통,경기시내버스_이비,-3200,KRW,K-패스 하나 체크카드,
